visual_material,target_material,decision,reason
Brick1_rrx_Ground,itu_brick,confirmed,direct brick material name or texture
Bricks1_Building,itu_brick,confirmed,direct brick material name or texture
Bricks20_Building,itu_brick,confirmed,direct brick material name or texture
Bricks7_Building,itu_brick,confirmed,direct brick material name or texture
Bricks7_Prop,itu_brick,confirmed,direct brick material name or texture
Bricks8_Building,itu_brick,confirmed,direct brick material name or texture
Bricks_Building,itu_brick,confirmed,direct brick material name or texture
Bricks_Building_1,itu_brick,confirmed,direct brick material name or texture
Bricks_Building_2,itu_brick,confirmed,direct brick material name or texture
Bricks_Building_3,itu_brick,confirmed,direct brick material name or texture
Bricks_Building_4,itu_brick,confirmed,direct brick material name or texture
Bricks_Prop,itu_brick,confirmed,direct brick material name or texture
Bricks_Tan1_Building,itu_brick,confirmed,direct brick material name or texture
Bricks_Tan2_Building,itu_brick,confirmed,direct brick material name or texture
Bricks_Tan_Building,itu_brick,confirmed,direct brick material name or texture
Bricks_White1_Building,itu_brick,confirmed,direct brick material name or texture
Bricks_White2_Building,itu_brick,confirmed,direct brick material name or texture
Bricks_White2_Building_1,itu_brick,confirmed,direct brick material name or texture
Bricks_White_Building,itu_brick,confirmed,direct brick material name or texture
Emmissive_SidingBrickFlat_Building,itu_brick,confirmed,direct brick material name or texture
AnotherInteriorGlow_Building,itu_concrete,confirmed,direct concrete/cement material name or texture
Cement_Prop,itu_concrete,confirmed,direct concrete/cement material name or texture
Concrete1_Curb,itu_concrete,confirmed,direct concrete/cement material name or texture
Concrete1_Ground,itu_concrete,confirmed,direct concrete/cement material name or texture
Concrete1_Gutter,itu_concrete,confirmed,direct concrete/cement material name or texture
Concrete1_Sidewalk,itu_concrete,confirmed,direct concrete/cement material name or texture
Concrete_BlueGray1_Building,itu_concrete,confirmed,direct concrete/cement material name or texture
Concrete_BlueGray_Building,itu_concrete,confirmed,direct concrete/cement material name or texture
Concrete_BlueGray_Building_1,itu_concrete,confirmed,direct concrete/cement material name or texture
Concrete_Brown1_Building,itu_concrete,confirmed,direct concrete/cement material name or texture
Concrete_Brown_Building,itu_concrete,confirmed,direct concrete/cement material name or texture
Concrete_Olive1_Building,itu_concrete,confirmed,direct concrete/cement material name or texture
Concrete_Olive2_Building,itu_concrete,confirmed,direct concrete/cement material name or texture
Concrete_Olive2_Building_1,itu_concrete,confirmed,direct concrete/cement material name or texture
Concrete_Olive_Building,itu_concrete,confirmed,direct concrete/cement material name or texture
Concrete_Olive_Building_1,itu_concrete,confirmed,direct concrete/cement material name or texture
Concrete_White1_Building,itu_concrete,confirmed,direct concrete/cement material name or texture
Concrete_White26_Building,itu_concrete,confirmed,direct concrete/cement material name or texture
Concrete_White26_Building_1,itu_concrete,confirmed,direct concrete/cement material name or texture
Concrete_White28_Building,itu_concrete,confirmed,direct concrete/cement material name or texture
Concrete_White28_Building_1,itu_concrete,confirmed,direct concrete/cement material name or texture
Concrete_White28_Building_2,itu_concrete,confirmed,direct concrete/cement material name or texture
Concrete_White2_Building,itu_concrete,confirmed,direct concrete/cement material name or texture
Concrete_White_Building,itu_concrete,confirmed,direct concrete/cement material name or texture
Concrete_White_Building_1,itu_concrete,confirmed,direct concrete/cement material name or texture
Concrete_White_Building_10,itu_concrete,confirmed,direct concrete/cement material name or texture
Concrete_White_Building_2,itu_concrete,confirmed,direct concrete/cement material name or texture
Concrete_White_Building_3,itu_concrete,confirmed,direct concrete/cement material name or texture
Concrete_White_Building_4,itu_concrete,confirmed,direct concrete/cement material name or texture
Concrete_White_Building_5,itu_concrete,confirmed,direct concrete/cement material name or texture
Concrete_White_Building_6,itu_concrete,confirmed,direct concrete/cement material name or texture
Concrete_White_Building_7,itu_concrete,confirmed,direct concrete/cement material name or texture
Concrete_White_Building_8,itu_concrete,confirmed,direct concrete/cement material name or texture
Concrete_White_Building_9,itu_concrete,confirmed,direct concrete/cement material name or texture
Concrete_White_Prop,itu_concrete,confirmed,direct concrete/cement material name or texture
Concrete_White_Trim1_Building,itu_concrete,confirmed,direct concrete/cement material name or texture
Concrete_White_Trim2_Building,itu_concrete,confirmed,direct concrete/cement material name or texture
Concrete_White_Trim2_Building_1,itu_concrete,confirmed,direct concrete/cement material name or texture
Concrete_White_Trim_Building,itu_concrete,confirmed,direct concrete/cement material name or texture
Concrete_White_Trim_Building_1,itu_concrete,confirmed,direct concrete/cement material name or texture
