visual_material,candidate_sionna_material,old_confidence,old_reason,strict_reason,slot_count,object_count,face_count,texture_files,objects_preview,required_action
Asphalt1_Road,itu_medium_dry_ground,medium,road/asphalt-like surface,road/sidewalk/asphalt-like role; needs project policy,4,4,4181,Asphalt1_Diff.png;Asphalt1_Norm.png;Asphalt1_Spec.png,Roads_Road_Layer0Node;Roads_Road_Layer0_1Node;Roads_Road_Layer0_2Node;Roads_Road_Layer0_3Node,manual confirm or create custom Sionna material
Construction_mat_Prop,itu_concrete,low,unknown material fallback,visual asset/material family needs manual review,1,1,1284,ConstructionProps01_Diff.png;ConstructionProps01_Norm.png;ConstructionProps01_Spec.png,Dumpster_Sm01_PropNode,manual confirm or create custom Sionna material
Emissive_Marble1_Building,stone/custom or itu_concrete,low,generic building material fallback,stone/marble/stucco is not an exact provided Sionna preset,2,2,560,SidingGraniteGlossy_Diff.png;SidingGraniteGlossy_Norm.png;SidingGraniteGlossy_Spec.png,Downtown_30mx30m_Corner_01_5storey0_mesh1_BuildingNode;Downtown_30mx30m_Corner_01_5storey0_mesh1_BuildingNode.001,manual confirm or create custom Sionna material
Emissive_MetalWood_Trim1_Building,itu_metal or itu_wood,high,metal visual material,compound MetalWood visual material; choose policy manually,2,2,84,MetalWood_Trim_Diff.png;MetalWood_Trim_Norm.png;MetalWood_Trim_Spec.png,Downtown_30mx30m_Corner_01_5storey0_mesh1_BuildingNode;Downtown_30mx30m_Corner_01_5storey0_mesh1_BuildingNode.001,manual confirm or create custom Sionna material
Emmissive_LightMarble_Building,stone/custom or itu_concrete,low,generic building material fallback,stone/marble/stucco is not an exact provided Sionna preset,2,2,40,SidingGraniteWeave_Diff.png;SidingGraniteWeave_Spec.png,Downtown_30mx30m_Corner_01_5storey0_mesh1_BuildingNode;Downtown_30mx30m_Corner_01_5storey0_mesh1_BuildingNode.001,manual confirm or create custom Sionna material
Emmissive_SanDiego_Building_Props_03_Building,itu_concrete,low,generic building material fallback,visual asset/material family needs manual review,2,2,768,SanDiego_Building_Props_02_Diff.png;SanDiego_Building_Props_02_Norm.png;SanDiego_Building_Props_02_Spec.png,Downtown_15mX30m_Corner_10storey0_Interior_Emissive0_Bu_c2f;Downtown_15mX30m_Corner_10storey0_Interior_Emissive0_Bu_c2f322e,manual confirm or create custom Sionna material
Emmissive_SidingCalcattaMarble_Building,stone/custom or itu_concrete,low,generic building material fallback,stone/marble/stucco is not an exact provided Sionna preset,2,2,104,SidingCalcattaMarble_Diff.png;SidingCalcattaMarble_Norm.png;SidingCalcattaMarble_Spec.png,Downtown_15mX30m_Corner_10storey0_Interior_Emissive0_Bu_c2f;Downtown_15mX30m_Corner_10storey0_Interior_Emissive0_Bu_c2f322e,manual confirm or create custom Sionna material
Emmissive_SidingVinylPlating_Building,itu_concrete,low,generic building material fallback,visual asset/material family needs manual review,2,2,160,SidingVinylPlating_Diff.png;SidingVinylPlating_Norm.png;SidingVinylPlating_Spec.png,Downtown_15mX30m_Corner_10storey0_Interior_Emissive0_Bu_c2f;Downtown_15mX30m_Corner_10storey0_Interior_Emissive0_Bu_c2f322e,manual confirm or create custom Sionna material
Emmissive_StuccoWall01_Building,stone/custom or itu_concrete,high,concrete/cement visual material,stone/marble/stucco is not an exact provided Sionna preset,2,2,312,StuccoWall01_Diff.png;StuccoWall01_Norm.png;StuccoWall01_Spec.png,Downtown_15mX30m_Corner_10storey0_Interior_Emissive0_Bu_c2f;Downtown_15mX30m_Corner_10storey0_Interior_Emissive0_Bu_c2f322e,manual confirm or create custom Sionna material
Foundation_MAT1_Prop,itu_concrete,high,concrete/cement visual material,no direct physical material keyword; needs manual review,1,1,72,Foundation_Diff_1.png;Foundation_Norm_1.png;Foundation_Spec_1.png,Foundation_mesh_PropNode,manual confirm or create custom Sionna material
Fountain_Water_Tex1_Prop,itu_concrete,low,unknown material fallback,visual asset/material family needs manual review,1,1,240,,Fountain_LoD0_PropNode,manual confirm or create custom Sionna material
Grass1_Ground,itu_medium_dry_ground or vegetation/custom,medium,outdoor ground surface,terrain/ground/tree role needs project policy,2,2,346,Grass1_Diff.png;Grass1_Norm.png;Grass1_Spec.png,Terrain_Ground_Layer0_2Node;Terrain_Ground_Layer0_3Node,manual confirm or create custom Sionna material
InteriorGlow_Building,stone/custom or itu_concrete,medium,stone approximated by concrete,stone/marble/stucco is not an exact provided Sionna preset,3,3,144,SidingStonePatterned_Diff.png;SidingStonePatterned_Norm.png;SidingStonePatterned_Spec.png,Downtown_30mX30m_OffsetHeights0_mesh1_BuildingNode;Downtown_30mX30m_OffsetHeights0_mesh1_BuildingNode.001;Downtown_30mX30m_OffsetHeights0_mesh1_BuildingNode.002,manual confirm or create custom Sionna material
LaneMarking1_Marking,itu_medium_dry_ground,medium,road/asphalt-like surface,road/sidewalk/asphalt-like role; needs project policy,4,4,16177,LaneMarking1_Diff.png;LaneMarking1_Norm.png;LaneMarking1_Spec.png,Roads_Marking_Layer0Node;Roads_Marking_Layer0_1Node;Roads_Marking_Layer0_2Node;Roads_Marking_Layer0_3Node,manual confirm or create custom Sionna material
LaneMarkingYellow1_Marking,itu_medium_dry_ground,medium,road/asphalt-like surface,road/sidewalk/asphalt-like role; needs project policy,3,3,2507,LaneMarking1_Diff.png;LaneMarking1_Norm.png;LaneMarking1_Spec.png,Roads_Marking_Layer0Node;Roads_Marking_Layer0_2Node;Roads_Marking_Layer0_3Node,manual confirm or create custom Sionna material
Leaves1_Prop,vegetation/custom or itu_wood,low,unknown material fallback,vegetation material; needs project policy,1,1,2772,Birch01_Leaves_Diff.png;Birch01_Leaves_Spec.png,Birch01_Leaves_LOD0_geo_PropNode,manual confirm or create custom Sionna material
Leaves3_Prop,vegetation/custom or itu_wood,low,unknown material fallback,vegetation material; needs project policy,18,18,45432,AzaleaHydrangea01_Diff.png;AzaleaHydrangea01_Norm.png;AzaleaHydrangea01_Spec.png,Azalea01_Flowers_LOD0_geo_PropNode;Azalea01_Flowers_LOD0_geo_PropNode.001;Azalea01_Flowers_LOD0_geo_PropNode.002;Azalea01_Flowers_LOD0_geo_PropNode.003;Azalea01_Flowers_LOD0_geo_PropNode.004;Azalea01_Flowers_LOD0_geo_PropNode.005;Azalea01_Flowers_LOD0_geo_PropNode.006;Azalea01_Flowers_LOD0_geo_PropNode.007;Azalea01_Flowers_LOD0_geo_PropNode.008;Azalea01_Leaves_LOD0_geo_PropNode;Azalea01_Leaves_LOD0_geo_PropNode.001;Azalea01_Leaves_LOD0_geo_PropNode.002;Azalea01_Leaves_LOD0_geo_PropNode.003;Azalea01_Leaves_LOD0_geo_PropNode.004;Azalea01_Leaves_LOD0_geo_PropNode.005;Azalea01_Leaves_LOD0_geo_PropNode.006;Azalea01_Leaves_LOD0_geo_PropNode.007;Azalea01_Leaves_LOD0_geo_PropNode.008,manual confirm or create custom Sionna material
Leaves4_Foliage,vegetation/custom or itu_wood,low,unknown material fallback,vegetation material; needs project policy,6,6,1332,EucalyptusLeaves_Diff.png;EucalyptusLeaves_Norm.png;EucalyptusLeaves_Spec.png,Cypress_Sm01_FoliageNode;Cypress_Sm01_FoliageNode.001;Cypress_Sm01_FoliageNode.002;Cypress_Sm01_FoliageNode.003;Cypress_Sm01_FoliageNode.004;Cypress_Sm01_FoliageNode.005,manual confirm or create custom Sionna material
Leaves6_Prop,vegetation/custom or itu_wood,low,unknown material fallback,vegetation material; needs project policy,36,36,94824,AzaleaHydrangea01_Diff.png;AzaleaHydrangea01_Norm.png;AzaleaHydrangea01_Spec.png,Hydrangea01_Flowers_LOD0_geo_PropNode;Hydrangea01_Flowers_LOD0_geo_PropNode.001;Hydrangea01_Flowers_LOD0_geo_PropNode.002;Hydrangea01_Flowers_LOD0_geo_PropNode.003;Hydrangea01_Flowers_LOD0_geo_PropNode.004;Hydrangea01_Flowers_LOD0_geo_PropNode.005;Hydrangea01_Flowers_LOD0_geo_PropNode.006;Hydrangea01_Flowers_LOD0_geo_PropNode.007;Hydrangea01_Flowers_LOD0_geo_PropNode.008;Hydrangea01_Flowers_LOD0_geo_PropNode.009;Hydrangea01_Flowers_LOD0_geo_PropNode.010;Hydrangea01_Flowers_LOD0_geo_PropNode.011;Hydrangea01_Flowers_LOD0_geo_PropNode.012;Hydrangea01_Flowers_LOD0_geo_PropNode.013;Hydrangea01_Flowers_LOD0_geo_PropNode.014;Hydrangea01_Flowers_LOD0_geo_PropNode.015;Hydrangea01_Flowers_LOD0_geo_PropNode.016;Hydrangea01_Flowers_LOD0_geo_PropNode.017;Hydrangea01_Leaves_LOD0_geo_PropNode;Hydrangea01_Leaves_LOD0_geo_PropNode.001,manual confirm or create custom Sionna material
Leaves_Foliage,vegetation/custom or itu_wood,low,unknown material fallback,vegetation material; needs project policy,25,25,850,EucalyptusLeaves_Diff.png;EucalyptusLeaves_Norm.png;EucalyptusLeaves_Spec.png,Bush_Sm03_FoliageNode;Bush_Sm03_FoliageNode.001;Bush_Sm03_FoliageNode.002;Bush_Sm03_FoliageNode.003;Bush_Sm03_FoliageNode.004;Bush_Sm03_FoliageNode.005;Bush_Sm03_FoliageNode.006;Bush_Sm03_FoliageNode.007;Bush_Sm03_FoliageNode.008;Bush_Sm03_FoliageNode.009;Bush_Sm03_FoliageNode.010;Bush_Sm03_FoliageNode.011;Bush_Sm03_FoliageNode.012;Bush_Sm03_FoliageNode.013;Bush_Sm03_FoliageNode.014;Bush_Sm03_FoliageNode.015;Bush_Sm03_FoliageNode.016;Bush_Sm03_FoliageNode.017;Bush_Sm03_FoliageNode.018;Bush_Sm03_FoliageNode.019,manual confirm or create custom Sionna material
Leaves_Foliage_1,vegetation/custom or itu_wood,low,unknown material fallback,vegetation material; needs project policy,1,1,140,EucalyptusLeaves_Diff.png;EucalyptusLeaves_Norm.png;EucalyptusLeaves_Spec.png,Bush_Med05_FoliageNode,manual confirm or create custom Sionna material
Leaves_Foliage_2,vegetation/custom or itu_wood,low,unknown material fallback,vegetation material; needs project policy,31,31,527,EucalyptusLeaves_Diff.png;EucalyptusLeaves_Norm.png;EucalyptusLeaves_Spec.png,Bush_Sm06_FoliageNode;Bush_Sm06_FoliageNode.001;Bush_Sm06_FoliageNode.002;Bush_Sm06_FoliageNode.003;Bush_Sm06_FoliageNode.004;Bush_Sm06_FoliageNode.005;Bush_Sm06_FoliageNode.006;Bush_Sm06_FoliageNode.007;Bush_Sm06_FoliageNode.008;Bush_Sm06_FoliageNode.009;Bush_Sm06_FoliageNode.010;Bush_Sm06_FoliageNode.011;Bush_Sm06_FoliageNode.012;Bush_Sm06_FoliageNode.013;Bush_Sm06_FoliageNode.014;Bush_Sm06_FoliageNode.015;Bush_Sm06_FoliageNode.016;Bush_Sm06_FoliageNode.017;Bush_Sm06_FoliageNode.018;Bush_Sm06_FoliageNode.019,manual confirm or create custom Sionna material
